,DMA_AREA,GTBible,GTQuran,GTCatholic_Church,GTMosque,GTChristianity,GTMuslim,cbsatitle,GSSProtestantRate,GSSCatholicRate,GSSJewishRate,GSSBuddaismRate,GSSMuslimRate,GSS_AREA_from_Amy,DMA_CO,CBSA_CODE
115,Johnstown-Altoona PA,97.0,3.0,90.0,10.0,81.0,19.0,,,,,,,,,
116,Jonesboro AR,98.0,2.0,88.33333333333331,11.666666666666664,87.0,13.0,,,,,,,,,
117,Joplin MO-Pittsburg KS,98.0,2.0,90.66666666666669,9.333333333333334,87.0,13.0,,,,,,,,,
118,Juneau AK,100.0,0.0,92.0,8.0,80.0,20.0,,,,,,,,,
119,Kansas City MO,96.0,4.0,89.33333333333331,10.666666666666666,81.0,19.0,1369.0,0.7601476009999999,0.129151292,0.003690037,0.0,0.0,"Kansas City, MO-KS",99.0,28140.0
120,Knoxville TN,98.33333333333331,1.6666666666666667,86.66666666666669,13.333333333333336,86.0,14.0,1387.0,0.8645161290000001,0.04516129,0.001612903,0.0,0.0,"Knoxville, TN",100.0,28940.0
121,La Crosse-Eau Claire WI,97.0,3.0,92.66666666666669,7.333333333333332,83.0,17.0,1194.0,0.513513514,0.310810811,0.004504505,0.0,0.0,"Eau Claire, WI",101.0,20740.0
122,Lafayette IN,94.0,6.0,86.0,14.0,78.0,22.0,,,,,,,,,
123,Lafayette LA,98.0,2.0,96.0,4.0,84.0,16.0,1396.0,0.375,0.5,0.0,0.0,0.0,"Lafayette, LA",103.0,29180.0
124,Lake Charles LA,98.0,2.0,96.0,4.0,86.0,14.0,,,,,,,,,
125,Lansing MI,94.0,6.0,87.0,13.0,77.0,23.0,1345.0,0.736486486,0.158783784,0.0,0.0,0.0,"Jackson, MI",105.0,27100.0
126,Lansing MI,94.0,6.0,87.0,13.0,77.0,23.0,1404.0,0.46666666700000003,0.26666666699999997,0.019047619,0.0,0.004761905,"Lansing-East Lansing, MI",105.0,29620.0
127,Laredo TX,99.0,1.0,94.66666666666669,5.333333333333333,90.0,10.0,,,,,,,,,
128,Las Vegas NV,96.0,4.0,86.0,14.0,79.0,21.0,1409.0,0.246575342,0.328767123,0.02739726,0.01369863,0.0,"Las Vegas-Henderson-Paradise, NV",107.0,29820.0
129,Lexington KY,98.0,2.0,84.0,16.0,86.0,14.0,,,,,,,,,
130,Lima OH,98.0,2.0,91.33333333333331,8.666666666666666,83.0,17.0,,,,,,,,,
131,Lincoln & Hastings-Kearney NE,96.0,4.0,93.0,7.0,83.0,17.0,,,,,,,,,
132,Little Rock-Pine Bluff AR,98.0,2.0,88.0,12.0,87.0,13.0,1613.0,0.8684210529999999,0.026315789,0.0,0.0,0.006578947,"Pine Bluff, AR",111.0,38220.0
133,Little Rock-Pine Bluff AR,98.0,2.0,88.0,12.0,87.0,13.0,1432.0,0.8640000000000001,0.10400000000000001,0.0,0.0,0.0,"Little Rock-North Little Rock-Conway, AR",111.0,30780.0
134,Los Angeles CA,95.0,5.0,83.0,17.0,81.0,19.0,1657.0,0.632653061,0.23809523800000001,0.006802720999999999,0.0,0.0,"Riverside-San Bernardino-Ontario, CA",112.0,40140.0
135,Los Angeles CA,95.0,5.0,83.0,17.0,81.0,19.0,1440.0,0.388743455,0.30017452,0.046247817999999996,0.006544503,0.002617801,"Los Angeles-Long Beach-Anaheim, CA",112.0,31080.0
136,Louisville KY,97.0,3.0,87.66666666666669,12.333333333333336,83.0,17.0,1441.0,0.43820224700000004,0.303370787,0.0,0.0,0.0,"Louisville/Jefferson County, KY-IN",113.0,31140.0
137,Lubbock TX,99.0,1.0,90.0,10.0,88.0,12.0,,,,,,,,,
138,Macon GA,97.33333333333331,2.6666666666666665,78.66666666666667,21.33333333333333,84.0,16.0,1447.0,0.671052632,0.065789474,0.0,0.0,0.0,"Macon, GA",115.0,31420.0
139,Madison WI,96.0,4.0,89.0,11.0,78.0,22.0,1450.0,0.558659218,0.268156425,0.027932961,0.0,0.0,"Madison, WI",116.0,31540.0
140,Mankato MN,91.33333333333331,8.666666666666666,88.0,12.0,77.0,23.0,,,,,,,,,
141,Marquette MI,96.0,4.0,92.66666666666669,7.333333333333332,79.0,21.0,1212.0,0.490909091,0.2,0.0,0.0,0.0,"Escanaba, MI",118.0,21540.0
142,Medford-Klamath Falls OR,98.0,2.0,89.33333333333331,10.666666666666666,85.0,15.0,,,,,,,,,
143,Memphis TN,97.0,3.0,78.33333333333333,21.66666666666667,83.0,17.0,1482.0,0.745341615,0.12422360199999999,0.01242236,0.0,0.0,"Memphis, TN-MS-AR",120.0,32820.0
144,Meridian MS,99.0,1.0,90.33333333333331,9.666666666666666,89.0,11.0,,,,,,,,,
145,Miami-Ft. Lauderdale FL,97.0,3.0,84.0,16.0,83.0,17.0,1489.0,0.440806045,0.295969773,0.070528967,0.0,0.003778338,"Miami-Fort Lauderdale-West Palm Beach, FL",122.0,33100.0
146,Milwaukee WI,95.33333333333331,4.666666666666667,88.66666666666669,11.333333333333336,79.0,21.0,1103.0,0.45918367299999996,0.367346939,0.019387755,0.0015306120000000002,0.00255102,"Chicago-Naperville-Elgin, IL-IN-WI",123.0,16980.0
147,Milwaukee WI,95.33333333333331,4.666666666666667,88.66666666666669,11.333333333333336,79.0,21.0,1495.0,0.439393939,0.393939394,0.007575758,0.0,0.0,"Milwaukee-Waukesha-West Allis, WI",123.0,33340.0
148,Milwaukee WI,95.33333333333331,4.666666666666667,88.66666666666669,11.333333333333336,79.0,21.0,1643.0,0.601503759,0.308270677,0.0,0.0,0.0,"Racine, WI",123.0,39540.0
149,Milwaukee WI,95.33333333333331,4.666666666666667,88.66666666666669,11.333333333333336,79.0,21.0,1719.0,0.553398058,0.23300970899999998,0.0,0.009708738,0.0,"Sheboygan, WI",123.0,43100.0
150,Minneapolis-St. Paul MN,88.66666666666669,11.333333333333336,81.0,19.0,74.0,26.0,1498.0,0.5126182970000001,0.269716088,0.017350158,0.0015772870000000001,0.0047318609999999995,"Minneapolis-St. Paul-Bloomington, MN-WI",124.0,33460.0
151,Minot-Bismarck-Dickinson(Williston) ND,98.0,2.0,94.66666666666669,5.333333333333333,83.0,17.0,,,,,,,,,
152,Missoula MT,98.0,2.0,88.66666666666669,11.333333333333336,83.0,17.0,,,,,,,,,
153,Mobile AL-Pensacola (Ft. Walton Beach) FL,98.0,2.0,91.33333333333331,8.666666666666666,84.0,16.0,1604.0,0.830357143,0.116071429,0.0,0.0,0.0,"Pensacola-Ferry Pass-Brent, FL",127.0,37860.0
154,Monroe LA-El Dorado AR,98.0,2.0,88.66666666666669,11.333333333333336,88.0,12.0,,,,,,,,,
155,Monterey-Salinas CA,94.0,6.0,84.0,16.0,77.0,23.0,,,,,,,,,
156,Montgomery (Selma) AL,99.0,1.0,85.33333333333333,14.666666666666664,86.0,14.0,1508.0,0.770833333,0.0625,0.03125,0.010416667,0.010416667,"Montgomery, AL",130.0,33860.0
157,Nashville TN,98.0,2.0,84.66666666666667,15.333333333333336,86.0,14.0,1535.0,0.78700361,0.084837545,0.010830325,0.001805054,0.003610108,"Nashville-Davidson--Murfreesboro--Franklin, TN",131.0,34980.0
158,New Orleans LA,97.0,3.0,92.0,8.0,82.0,18.0,,,,,,,,,
159,New York NY,89.33333333333331,10.666666666666666,72.0,28.0,69.0,31.0,959.0,0.596296296,0.27037037,0.0074074069999999995,0.0037037040000000004,0.0,"Allentown-Bethlehem-Easton, PA-NJ",133.0,10900.0
160,New York NY,89.33333333333331,10.666666666666666,72.0,28.0,69.0,31.0,1055.0,0.39516129,0.37903225799999996,0.048387097000000004,0.0,0.0,"Bridgeport-Stamford-Norwalk, CT",133.0,14860.0
161,New York NY,89.33333333333331,10.666666666666666,72.0,28.0,69.0,31.0,1546.0,0.299065421,0.431169487,0.087900985,0.003536247,0.008082849,"New York-Newark-Jersey City, NY-NJ-PA",133.0,35620.0
